id,X,stateid,closest_camp,kreise,distance,unemp,educ,west,female,age,urban_scale,lr,immigrants07,unemployment07,prop_jewish25,unemployment33,population25,nazishare33,intolerance,resentment,far_right,state,murdered,gpcdistance,gpcprop_jewish25,gpcunemployment33,gpcpopulation25,gpcnazishare33,meandistances,meanjewss,meannaziss,meandistancec,meanjewsc,meannazisc,land,camp,c25pop.x,popdens_eust,v1,oldland_prov,objecti,c25pop.y,c25judn,c25prot,c25kath,c25bbrl,c33erls,n285gs,n285nsd,n309gs,n309nsd,n327gs,n327nsd,n32ngs,n32nnsd,n333gs,n333nsd,prp_jdn,unemp25,unemp33,pop,vshar28,vshar30,vshr32j,vshr32n,vshar33,judn_ns,jdn_cl0,jdn_cl1,jdn_cl2,jdn_cl3,jdn_cl4,jdn_cl5,oldland,oldland_pruprov,oldlandid
1,1,"WEST:
Baden-Wurttemberg",Dachau,-,17.85535049,0,8,1,0,46,8,7,0.21389473,0.056719825,0.011966758,0.089540631,3.80728507,0.341092616,-0.37825349,-5.134666443,0,8,41500,7.526103497,0.004171994,-0.002716655,1.853726983,-0.107794367,6.097900867,-0.002015341,-0.020691717,1.143043041,-0.001751475,0.004074736,8,4,380728.5166,2872.199951,21,18000,273,380728.5313,4556.085938,293435.5,67677.05469,33221.21875,34090.67188,204027.5625,4923.696289,242896.2188,22780.31836,246862.0781,67263.32813,253354.5469,59116.91016,281879.0625,96146.86719,0.011966757,0.087256983,0.089540631,380728.5313,0.024132507,0.093786225,0.272473305,0.233336687,0.341092616,0,0,0,1,0,0,0,18000,NA,Wuerttemberg
2,2,"WEST:
Baden-Wurttemberg",Dachau,-,17.85535049,0,5,1,1,39,8,5,0.21389473,0.056719825,0.011966758,0.089540631,3.80728507,0.341092616,-0.37825349,-2.244690657,0,8,41500,7.526103497,0.004171994,-0.002716655,1.853726983,-0.107794367,6.097900867,-0.002015341,-0.020691717,1.143043041,-0.001751475,0.004074736,8,4,380728.5166,2872.199951,21,18000,273,380728.5313,4556.085938,293435.5,67677.05469,33221.21875,34090.67188,204027.5625,4923.696289,242896.2188,22780.31836,246862.0781,67263.32813,253354.5469,59116.91016,281879.0625,96146.86719,0.011966757,0.087256983,0.089540631,380728.5313,0.024132507,0.093786225,0.272473305,0.233336687,0.341092616,0,0,0,1,0,0,0,18000,NA,Wuerttemberg
3,3,"WEST:
Baden-Wurttemberg",Dachau,-,17.85535049,0,7,1,1,31,8,4,0.21389473,0.056719825,0.011966758,0.089540631,3.80728507,0.341092616,-0.37825349,-7.420084476,0,8,41500,7.526103497,0.004171994,-0.002716655,1.853726983,-0.107794367,6.097900867,-0.002015341,-0.020691717,1.143043041,-0.001751475,0.004074736,8,4,380728.5166,2872.199951,21,18000,273,380728.5313,4556.085938,293435.5,67677.05469,33221.21875,34090.67188,204027.5625,4923.696289,242896.2188,22780.31836,246862.0781,67263.32813,253354.5469,59116.91016,281879.0625,96146.86719,0.011966757,0.087256983,0.089540631,380728.5313,0.024132507,0.093786225,0.272473305,0.233336687,0.341092616,0,0,0,1,0,0,0,18000,NA,Wuerttemberg
4,4,"WEST:
Baden-Wurttemberg",Dachau,-,17.85535049,0,5,1,1,49,8,5,0.21389473,0.056719825,0.011966758,0.089540631,3.80728507,0.341092616,-0.37825349,-0.340159893,0,8,41500,7.526103497,0.004171994,-0.002716655,1.853726983,-0.107794367,6.097900867,-0.002015341,-0.020691717,1.143043041,-0.001751475,0.004074736,8,4,380728.5166,2872.199951,21,18000,273,380728.5313,4556.085938,293435.5,67677.05469,33221.21875,34090.67188,204027.5625,4923.696289,242896.2188,22780.31836,246862.0781,67263.32813,253354.5469,59116.91016,281879.0625,96146.86719,0.011966757,0.087256983,0.089540631,380728.5313,0.024132507,0.093786225,0.272473305,0.233336687,0.341092616,0,0,0,1,0,0,0,18000,NA,Wuerttemberg
5,5,"WEST:
Baden-Wurttemberg",Dachau,-,17.85535049,0,5,1,1,41,8,7,0.21389473,0.056719825,0.011966758,0.089540631,3.80728507,0.341092616,-0.37825349,-6.497448921,0,8,41500,7.526103497,0.004171994,-0.002716655,1.853726983,-0.107794367,6.097900867,-0.002015341,-0.020691717,1.143043041,-0.001751475,0.004074736,8,4,380728.5166,2872.199951,21,18000,273,380728.5313,4556.085938,293435.5,67677.05469,33221.21875,34090.67188,204027.5625,4923.696289,242896.2188,22780.31836,246862.0781,67263.32813,253354.5469,59116.91016,281879.0625,96146.86719,0.011966757,0.087256983,0.089540631,380728.5313,0.024132507,0.093786225,0.272473305,0.233336687,0.341092616,0,0,0,1,0,0,0,18000,NA,Wuerttemberg
6,6,"WEST:
Baden-Wurttemberg",Dachau,-,17.85535049,0,5,1,1,34,8,6,0.21389473,0.056719825,0.011966758,0.089540631,3.80728507,0.341092616,0.348260343,-7.749191284,0,8,41500,7.526103497,0.004171994,-0.002716655,1.853726983,-0.107794367,6.097900867,-0.002015341,-0.020691717,1.143043041,-0.001751475,0.004074736,8,4,380728.5166,2872.199951,21,18000,273,380728.5313,4556.085938,293435.5,67677.05469,33221.21875,34090.67188,204027.5625,4923.696289,242896.2188,22780.31836,246862.0781,67263.32813,253354.5469,59116.91016,281879.0625,96146.86719,0.011966757,0.087256983,0.089540631,380728.5313,0.024132507,0.093786225,0.272473305,0.233336687,0.341092616,0,0,0,1,0,0,0,18000,NA,Wuerttemberg
7,7,"WEST:
Baden-Wurttemberg",Dachau,-,17.85535049,0,5,1,1,47,8,5,0.21389473,0.056719825,0.011966758,0.089540631,3.80728507,0.341092616,-0.37825349,-3.287198305,0,8,41500,7.526103497,0.004171994,-0.002716655,1.853726983,-0.107794367,6.097900867,-0.002015341,-0.020691717,1.143043041,-0.001751475,0.004074736,8,4,380728.5166,2872.199951,21,18000,273,380728.5313,4556.085938,293435.5,67677.05469,33221.21875,34090.67188,204027.5625,4923.696289,242896.2188,22780.31836,246862.0781,67263.32813,253354.5469,59116.91016,281879.0625,96146.86719,0.011966757,0.087256983,0.089540631,380728.5313,0.024132507,0.093786225,0.272473305,0.233336687,0.341092616,0,0,0,1,0,0,0,18000,NA,Wuerttemberg
8,8,"WEST:
Baden-Wurttemberg",Dachau,-,17.85535049,0,7,1,0,64,8,7,0.21389473,0.056719825,0.011966758,0.089540631,3.80728507,0.341092616,0.348260343,1.865527987,0,8,41500,7.526103497,0.004171994,-0.002716655,1.853726983,-0.107794367,6.097900867,-0.002015341,-0.020691717,1.143043041,-0.001751475,0.004074736,8,4,380728.5166,2872.199951,21,18000,273,380728.5313,4556.085938,293435.5,67677.05469,33221.21875,34090.67188,204027.5625,4923.696289,242896.2188,22780.31836,246862.0781,67263.32813,253354.5469,59116.91016,281879.0625,96146.86719,0.011966757,0.087256983,0.089540631,380728.5313,0.024132507,0.093786225,0.272473305,0.233336687,0.341092616,0,0,0,1,0,0,0,18000,NA,Wuerttemberg
9,9,"WEST:
Baden-Wurttemberg",Dachau,-,17.85535049,0,8,1,0,45,8,6,0.21389473,0.056719825,0.011966758,0.089540631,3.80728507,0.341092616,-0.37825349,-1.7295748,0,8,41500,7.526103497,0.004171994,-0.002716655,1.853726983,-0.107794367,6.097900867,-0.002015341,-0.020691717,1.143043041,-0.001751475,0.004074736,8,4,380728.5166,2872.199951,21,18000,273,380728.5313,4556.085938,293435.5,67677.05469,33221.21875,34090.67188,204027.5625,4923.696289,242896.2188,22780.31836,246862.0781,67263.32813,253354.5469,59116.91016,281879.0625,96146.86719,0.011966757,0.087256983,0.089540631,380728.5313,0.024132507,0.093786225,0.272473305,0.233336687,0.341092616,0,0,0,1,0,0,0,18000,NA,Wuerttemberg
10,10,"WEST:
Baden-Wurttemberg",Dachau,-,17.85535049,1,5,1,1,36,8,5,0.21389473,0.056719825,0.011966758,0.089540631,3.80728507,0.341092616,-0.37825349,-0.163242131,0,8,41500,7.526103497,0.004171994,-0.002716655,1.853726983,-0.107794367,6.097900867,-0.002015341,-0.020691717,1.143043041,-0.001751475,0.004074736,8,4,380728.5166,2872.199951,21,18000,273,380728.5313,4556.085938,293435.5,67677.05469,33221.21875,34090.67188,204027.5625,4923.696289,242896.2188,22780.31836,246862.0781,67263.32813,253354.5469,59116.91016,281879.0625,96146.86719,0.011966757,0.087256983,0.089540631,380728.5313,0.024132507,0.093786225,0.272473305,0.233336687,0.341092616,0,0,0,1,0,0,0,18000,NA,Wuerttemberg
