kreise,Distance,closest_camp,unemp,educ,west,female,age,urban_scale,lr,immigrants07,unemployment07,prop_jewish25,unemployment33,population25,nazishare33,intolerance,resentment,far_right,state
-,15.96923116,Neuengamme,0,5,1,0,63,6,5,0.079014198,0.116637294,0.000966015,0.129651918,0.596944764,0.485494902,-0.378253486,5.88359733,0,DEF
-,15.96923116,Neuengamme,0,5,1,0,49,6,NA,0.079014198,0.116637294,0.000966015,0.129651918,0.596944764,0.485494902,0.898074967,-2.047544918,0,DEF
-,15.96923116,Neuengamme,1,8,1,1,28,6,NA,0.079014198,0.116637294,0.000966015,0.129651918,0.596944764,0.485494902,-0.378253486,-5.604499924,0,DEF
-,15.96923116,Neuengamme,1,5,1,1,53,6,5,0.079014198,0.116637294,0.000966015,0.129651918,0.596944764,0.485494902,0.348260353,5.711560522,0,DEF
-,15.96923116,Neuengamme,0,5,1,0,72,6,7,0.079014198,0.116637294,0.000966015,0.129651918,0.596944764,0.485494902,0.396214214,3.275474042,0,DEF
-,15.96923116,Neuengamme,0,5,1,1,69,6,NA,0.079014198,0.116637294,0.000966015,0.129651918,0.596944764,0.485494902,0.507541101,0.136798341,0,DEF
-,9.981148502,Neuengamme,0,5,1,0,34,7,5,0.082518291,0.119435511,0.002828676,0.12912788,1.885256903,0.477009158,-0.378253486,2.630430077,0,DEF
-,9.981148502,Neuengamme,0,3,1,1,45,7,4,0.082518291,0.119435511,0.002828676,0.12912788,1.885256903,0.477009158,-0.378253486,1.494102189,0,DEF
-,9.981148502,Neuengamme,0,5,1,1,51,7,6,0.082518291,0.119435511,0.002828676,0.12912788,1.885256903,0.477009158,-0.378253486,0.489532327,0,DEF
-,9.981148502,Neuengamme,0,3,1,0,41,7,NA,0.082518291,0.119435511,0.002828676,0.12912788,1.885256903,0.477009158,-0.378253486,0.875888564,0,DEF
-,9.981148502,Neuengamme,1,3,1,0,43,7,9,0.082518291,0.119435511,0.002828676,0.12912788,1.885256903,0.477009158,0.348260353,4.663755288,1,DEF
-,9.981148502,Neuengamme,1,5,1,1,51,7,2,0.082518291,0.119435511,0.002828676,0.12912788,1.885256903,0.477009158,0.348260353,2.740350776,0,DEF
-,9.981148502,Neuengamme,0,3,1,1,79,7,5,0.082518291,0.119435511,0.002828676,0.12912788,1.885256903,0.477009158,0.348260353,0.982544641,0,DEF
-,15.69033286,Neuengamme,0,5,1,0,42,2,5,0.031531991,0.099069124,0.000339657,0.03377721,0.757408119,0.704938058,-0.378253486,-1.889318999,0,DEF
-,15.69033286,Neuengamme,1,5,1,1,35,2,NA,0.031531991,0.099069124,0.000339657,0.03377721,0.757408119,0.704938058,-0.378253486,-1.492581083,0,DEF
-,15.69033286,Neuengamme,1,2,1,0,49,2,7,0.031531991,0.099069124,0.000339657,0.03377721,0.757408119,0.704938058,-0.378253486,-2.015605509,0,DEF
-,15.69033286,Neuengamme,0,7,1,0,80,2,7,0.031531991,0.099069124,0.000339657,0.03377721,0.757408119,0.704938058,0.396214214,-4.077409534,0,DEF
-,15.69033286,Neuengamme,0,5,1,1,51,2,NA,0.031531991,0.099069124,0.000339657,0.03377721,0.757408119,0.704938058,-0.378253486,-1.425584018,0,DEF
-,15.69033286,Neuengamme,0,3,1,1,77,2,7,0.031531991,0.099069124,0.000339657,0.03377721,0.757408119,0.704938058,-0.378253486,-0.592243185,0,DEF
-,15.69033286,Neuengamme,0,5,1,0,72,2,7,0.031531991,0.099069124,0.000339657,0.03377721,0.757408119,0.704938058,-0.378253486,-1.79434287,0,DEF
-,9.132912639,Neuengamme,0,5,1,0,24,3,NA,0.022218616,0.077734765,0.000235553,0.096242933,0.476619367,0.519501522,-0.378253486,3.394839468,0,DEF
